run_id,benchmark,method,noise_type,noise_rate,seed,bin_center,bin_acc,bin_conf,bin_count
cifar10n_taskil__c10n_aggre__derpp__seed2,cifar10n_taskil,derpp,cifar10n:aggre,0.092,2,0.5,0.5059880239520959,0.5175066172719716,334
cifar10n_taskil__c10n_aggre__derpp__seed2,cifar10n_taskil,derpp,cifar10n:aggre,0.092,2,0.5666666666666667,0.5397111913357401,0.5661106312963506,554
cifar10n_taskil__c10n_aggre__derpp__seed2,cifar10n_taskil,derpp,cifar10n:aggre,0.092,2,0.6333333333333333,0.6266447368421053,0.6336833594464942,608
cifar10n_taskil__c10n_aggre__derpp__seed2,cifar10n_taskil,derpp,cifar10n:aggre,0.092,2,0.7,0.7191558441558441,0.7007529841034443,616
cifar10n_taskil__c10n_aggre__derpp__seed2,cifar10n_taskil,derpp,cifar10n:aggre,0.092,2,0.7666666666666666,0.8264984227129337,0.7673015047323064,634
cifar10n_taskil__c10n_aggre__derpp__seed2,cifar10n_taskil,derpp,cifar10n:aggre,0.092,2,0.8333333333333334,0.8549382716049383,0.83269060789435,648
cifar10n_taskil__c10n_aggre__derpp__seed2,cifar10n_taskil,derpp,cifar10n:aggre,0.092,2,0.9,0.9317851959361393,0.9010166893503663,689
cifar10n_taskil__c10n_aggre__derpp__seed2,cifar10n_taskil,derpp,cifar10n:aggre,0.092,2,0.9666666666666667,0.9792802617230099,0.9708920292791909,917
cifar10n_taskil__c10n_aggre__derpp__seed3,cifar10n_taskil,derpp,cifar10n:aggre,0.089,3,0.03333333333333333,,,0
cifar10n_taskil__c10n_aggre__derpp__seed3,cifar10n_taskil,derpp,cifar10n:aggre,0.089,3,0.1,,,0
cifar10n_taskil__c10n_aggre__derpp__seed3,cifar10n_taskil,derpp,cifar10n:aggre,0.089,3,0.16666666666666669,,,0
cifar10n_taskil__c10n_aggre__derpp__seed3,cifar10n_taskil,derpp,cifar10n:aggre,0.089,3,0.23333333333333334,,,0
cifar10n_taskil__c10n_aggre__derpp__seed3,cifar10n_taskil,derpp,cifar10n:aggre,0.089,3,0.3,,,0
