run_id,benchmark,dataset,method,family,gate_signal,label_free,backbone,noise_type,noise_rate,condition,seed,multihead,average_accuracy,class_il_acc,task_il_acc,mean_forgetting,backward_transfer,forward_transfer,buffer_purity,buffer_diversity,buffer_class_balance,class_count_variance,minority_class_coverage,n_classes_represented,gate_corr,gate_on_correct,gate_on_wrong,admission_rate,gate_separation,inversion_flag,inversion_rate,time_to_inversion,replay_loss_clean,replay_loss_noisy,ece,brier,nll,clean_mean_confidence,mislabeled_mean_confidence,clean_ece,mislabeled_ece,high_conf_mislabeled_fraction,total_time_s,peak_memory_mb,n_params
cifar10n_taskil__c10n_aggre__derpp__seed0,cifar10n_taskil,cifar10n_aggre_taskil,derpp,replay,none,True,resnet18,cifar10n:aggre,0.086,c10n_aggre,0,True,0.7661999999999999,,0.7661999999999999,0.07150000000000004,-0.06900000000000003,-0.013749999999999998,0.908,0.9918326012111849,0.5396825396825397,92.0,1.0,10,,,,,,False,,,0.22061910534559687,0.4594012819554495,0.07946711964607238,0.3155387362252709,0.47802714903304383,0.7818064093589783,0.717805802822113,0.0436904216197229,0.1787956044732071,0.03423304805793285,217.52162075042725,1023.617536,11173962
cifar10n_taskil__c10n_aggre__derpp__seed1,cifar10n_taskil,cifar10n_aggre_taskil,derpp,replay,none,True,resnet18,cifar10n:aggre,0.09,c10n_aggre,1,True,0.771,,0.771,0.08224999999999996,-0.08224999999999996,0.012499999999999983,0.904,0.9890583144902609,0.4090909090909091,117.0,1.0,10,,,,,,False,,,0.21821890995044219,0.42720598448067904,0.04246487179994583,0.2990395198926687,0.45064700865462004,0.7815715074539185,0.7112331986427307,0.04176829023278254,0.1391357880518231,0.029846246608381068,217.17390608787537,1023.617536,11173962
cifar10n_taskil__c10n_aggre__derpp__seed2,cifar10n_taskil,cifar10n_aggre_taskil,derpp,replay,none,True,resnet18,cifar10n:aggre,0.092,c10n_aggre,2,True,0.782,,0.782,0.06425,-0.05224999999999999,-0.027249999999999996,0.942,0.9940164554288531,0.5483870967741935,66.2,1.0,10,,,,,,False,,,0.19512032875197452,0.4790124872635151,0.05219255164861678,0.2895214028046695,0.4431791445340698,0.7849188446998596,0.7222022414207458,0.040873897024812846,0.06987362246211239,0.029850746268656716,217.0661106109619,1023.617536,11173962
cifar10n_taskil__c10n_aggre__derpp__seed3,cifar10n_taskil,cifar10n_aggre_taskil,derpp,replay,none,True,resnet18,cifar10n:aggre,0.089,c10n_aggre,3,True,0.7608,,0.7608,0.05849999999999997,-0.04349999999999998,-0.0059999999999999915,0.912,0.9968593294318198,0.6607142857142857,34.6,1.0,10,,,,,,False,,,0.2533314833815478,0.6649500719610263,0.03561243958473205,0.3244483386017688,0.49880713735972926,0.7688942551612854,0.7007647156715393,0.040234688118071245,0.0930142385184427,0.033345683586513526,217.13757157325745,1023.617536,11173962
cifar10n_taskil__c10n_aggre__derpp__seed4,cifar10n_taskil,cifar10n_aggre_taskil,derpp,replay,none,True,resnet18,cifar10n:aggre,0.088,c10n_aggre,4,True,0.7902,,0.7902,0.049750000000000016,-0.049750000000000016,-0.014249999999999999,0.906,0.9930810170362678,0.5625,80.0,1.0,10,,,,,,False,,,0.2268323434244895,0.45660395076141713,0.05169409395456315,0.2863303810805534,0.4417862994956723,0.7828431725502014,0.7212808728218079,0.03557562389300671,0.10677701052818588,0.04112554112554113,217.09586310386658,1023.617536,11173962
cifar10n_taskil__c10n_aggre__er__seed0,cifar10n_taskil,cifar10n_aggre_taskil,er,replay,random,True,resnet18,cifar10n:aggre,0.086,c10n_aggre,0,True,0.7249999999999999,,0.7249999999999999,0.08174999999999996,-0.07649999999999998,-0.011999999999999997,0.908,0.9918326012111849,0.5396825396825397,92.0,1.0,10,,,,,,False,,,0.03197170600118705,0.003873748283230389,0.1854698502421379,0.4426217207771401,0.9169304385942028,0.9197330474853516,0.8833386301994324,0.1282122932106669,0.42675324678421017,0.07369510232237296,180.97385811805725,1028.694016,11173962
cifar10n_taskil__c10n_aggre__er__seed1,cifar10n_taskil,cifar10n_aggre_taskil,er,replay,random,True,resnet18,cifar10n:aggre,0.09,c10n_aggre,1,True,0.744,,0.744,0.0965,-0.0965,-0.031,0.904,0.9890583144902609,0.4090909090909091,117.0,1.0,10,,,,,,False,,,0.015871177906637297,0.00512979880760452,0.16391772079467773,0.4087018934100792,0.8027851214809502,0.9154190421104431,0.8862151503562927,0.11186582857159139,0.4058099030778649,0.07904583723105706,180.27990102767944,1023.616,11173962
cifar10n_taskil__c10n_aggre__er__seed2,cifar10n_taskil,cifar10n_aggre_taskil,er,replay,random,True,resnet18,cifar10n:aggre,0.092,c10n_aggre,2,True,0.7834000000000001,,0.7834000000000001,0.05449999999999999,-0.05449999999999999,0.009250000000000008,0.942,0.9940164554288531,0.5483870967741935,66.2,1.0,10,,,,,,False,,,0.011764754036584177,0.018344097831498252,0.1251584157347679,0.33710019915891076,0.6473177914267381,0.9214420318603516,0.880715548992157,0.08776869741592247,0.31249271657512867,0.0738370099439936,182.51245737075806,1023.616,11173962
cifar10n_taskil__c10n_aggre__er__seed3,cifar10n_taskil,cifar10n_aggre_taskil,er,replay,random,True,resnet18,cifar10n:aggre,0.089,c10n_aggre,3,True,0.764,,0.764,0.07824999999999999,-0.07424999999999998,0.020250000000000018,0.912,0.9968593294318198,0.6607142857142857,34.6,1.0,10,,,,,,False,,,0.025209305978691518,0.016889513877997298,0.15178300882577897,0.37888052930728155,0.8531190384563981,0.9236156344413757,0.8857510685920715,0.1036100898926763,0.3252595345892843,0.07407407407407407,180.52914094924927,1023.616,11173962
cifar10n_taskil__c10n_aggre__er__seed4,cifar10n_taskil,cifar10n_aggre_taskil,er,replay,random,True,resnet18,cifar10n:aggre,0.088,c10n_aggre,4,True,0.7737999999999999,,0.7737999999999999,0.04425000000000004,-0.03500000000000003,-0.03175,0.906,0.9930810170362678,0.5625,80.0,1.0,10,,,,,,False,,,0.02314072965576616,0.02302405339488641,0.14416446800231936,0.35941665184543775,0.7200328039394935,0.9225764870643616,0.8765010237693787,0.09150599178717808,0.3548242840489358,0.07212031445824313,180.26550936698914,1023.616,11173962
